Proveedor,Plan,Velocidad,Precio,Categoría,Detalles,Precio_Num
Puntonet,N/A,1000 Mbps,$38.00,Hogar,,38.0
CNT,N/A,150 Mbps,$38.5,4 Play (Combos),,38.5
Netlife,CE INNOVADOR,200 Mbps,$39.10 incl IVA (Normal),Pyme,,39.1
Claro,Internet + Telefonía,1000 Mbps,$40.25,Hogar,"Precio Inc. Impuesto. Incluye telefonía, elige entre HBO Max o Paramount+. Obtén hasta el 15% de descuento.",40.25
Netlife,CE PRODUCTIVO,250 Mbps,$43.13 incl IVA (Normal),Pyme,,43.13
CNT,N/A,300 Mbps,$46.5,4 Play (Combos),,46.5
Gonet,GoPYMES,200 Mbps,$47,Hogar,,47.0
Netlife,2000 Mbps,2000 Mbps,$57.49 incl IVA (Promocional),Hogar,,57.49
Celerity,2000 Mbps,2000 Mbps,$63.00,Hogar,"+IVA. 30% de descuento por 6 meses. CLUB CELERITY. INCLUYE Booster 2 zonas wifi. Celerity Play SIN COSTO por 12 meses. Precio regular $90.00 + iva al finalizar la promoción. Válido solo para Quito, Guayaquil y Cuenca.",63.0
Gonet,GoPYMES,400 Mbps,$63,Hogar,,63.0
Puntonet,N/A,2000 Mbps,$70.00,Hogar,,70.0
Gonet,GoPYMES,600 Mbps,$78,Hogar,,78.0
Gonet,GoPYMES,800 Mbps,$95,Hogar,,95.0
Netlife,CE TECH,850 Mbps,$97.75 incl IVA (Normal),Pyme,,97.75
Netlife,CE INFINITY,1200 Mbps,$132.25 incl IVA (Normal),Pyme,,132.25
